name,playcount,mbid,url,artist/name,artist/mbid,artist/url,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,@attr/rank
"I Love You, Honeybear",208,5bad490b-2939-4955-955b-9280cf616473,"http://www.last.fm/music/Father+John+Misty/I+Love+You,+Honeybear",Father John Misty,172053e5-a7fb-4548-a64d-c53858b5e775,http://www.last.fm/music/Father+John+Misty,http://userserve-ak.last.fm/serve/34s/103458199.png,small,http://userserve-ak.last.fm/serve/64s/103458199.png,medium,http://userserve-ak.last.fm/serve/126/103458199.png,large,http://userserve-ak.last.fm/serve/300x300/103458199.png,extralarge,1
Guns Don't Kill People...Lazers Do (Bonus Track Version),176,,http://www.last.fm/music/Major+Lazer/Guns+Don%27t+Kill+People...Lazers+Do+(Bonus+Track+Version),Major Lazer,75be165a-ad83-4d12-bd28-f589a15c479f,http://www.last.fm/music/Major+Lazer,http://userserve-ak.last.fm/serve/34s/42059009.png,small,http://userserve-ak.last.fm/serve/64s/42059009.png,medium,http://userserve-ak.last.fm/serve/126/42059009.png,large,http://userserve-ak.last.fm/serve/300x300/42059009.png,extralarge,2
Of Cities,89,c4bfd5a2-61a4-47f9-8777-22fdcf886b1c,http://www.last.fm/music/DJ+Signify/Of+Cities,DJ Signify,d3115e4a-ad25-42f1-a494-e11c10619cfb,http://www.last.fm/music/DJ+Signify,http://userserve-ak.last.fm/serve/34s/54592825.jpg,small,http://userserve-ak.last.fm/serve/64s/54592825.jpg,medium,http://userserve-ak.last.fm/serve/126/54592825.jpg,large,http://userserve-ak.last.fm/serve/300x300/54592825.jpg,extralarge,3
Doolittle,88,9089bacc-2bb9-40ad-b2a0-d312cbbb921c,http://www.last.fm/music/Pixies/Doolittle,Pixies,b6b2bb8d-54a9-491f-9607-7b546023b433,http://www.last.fm/music/Pixies,http://userserve-ak.last.fm/serve/34s/74155372.png,small,http://userserve-ak.last.fm/serve/64s/74155372.png,medium,http://userserve-ak.last.fm/serve/126/74155372.png,large,http://userserve-ak.last.fm/serve/300x300/74155372.png,extralarge,4
Top Ranking,83,,http://www.last.fm/music/+noredirect/Santogold+vs.+Diplo/Top+Ranking,Santogold vs. Diplo,,http://www.last.fm/music/+noredirect/Santogold+vs.+Diplo,http://cdn.last.fm/flatness/catalogue/noimage/2/default_album_medium.png,small,http://cdn.last.fm/flatness/catalogue/noimage/2/default_album_medium.png,medium,http://cdn.last.fm/flatness/catalogue/noimage/2/default_album_medium.png,large,http://cdn.last.fm/flatness/catalogue/noimage/2/default_album_medium.png,extralarge,5
Bossanova,72,2c186990-c7c3-424c-b4a3-91c4f1751ddf,http://www.last.fm/music/Pixies/Bossanova,Pixies,b6b2bb8d-54a9-491f-9607-7b546023b433,http://www.last.fm/music/Pixies,http://userserve-ak.last.fm/serve/34s/57756113.png,small,http://userserve-ak.last.fm/serve/64s/57756113.png,medium,http://userserve-ak.last.fm/serve/126/57756113.png,large,http://userserve-ak.last.fm/serve/300x300/57756113.png,extralarge,6
Bricolage,69,865f40b0-8ed8-4a31-8293-7d99d92cd7d7,http://www.last.fm/music/Amon+Tobin/Bricolage,Amon Tobin,630662ea-1c7d-4208-99fd-ba3afec20f0c,http://www.last.fm/music/Amon+Tobin,http://userserve-ak.last.fm/serve/34s/41947007.png,small,http://userserve-ak.last.fm/serve/64s/41947007.png,medium,http://userserve-ak.last.fm/serve/126/41947007.png,large,http://userserve-ak.last.fm/serve/300x300/41947007.png,extralarge,7
Songs About Fucking,67,4a89a2f8-f139-41d9-abb9-f1e553c7b030,http://www.last.fm/music/Big+Black/Songs+About+Fucking,Big Black,9463868f-edc8-427e-ac07-ea89698e5f15,http://www.last.fm/music/Big+Black,http://userserve-ak.last.fm/serve/34s/101342389.png,small,http://userserve-ak.last.fm/serve/64s/101342389.png,medium,http://userserve-ak.last.fm/serve/126/101342389.png,large,http://userserve-ak.last.fm/serve/300x300/101342389.png,extralarge,8
Check Your Head,64,,http://www.last.fm/music/+noredirect/The+Beastie+Boys/Check+Your+Head,The Beastie Boys,,http://www.last.fm/music/+noredirect/The+Beastie+Boys,http://userserve-ak.last.fm/serve/34s/85073399.png,small,http://userserve-ak.last.fm/serve/64s/85073399.png,medium,http://userserve-ak.last.fm/serve/126/85073399.png,large,http://userserve-ak.last.fm/serve/300x300/85073399.png,extralarge,9
Paul's Boutique,63,,http://www.last.fm/music/+noredirect/The+Beastie+Boys/Paul%27s+Boutique,The Beastie Boys,,http://www.last.fm/music/+noredirect/The+Beastie+Boys,http://userserve-ak.last.fm/serve/34s/85073287.png,small,http://userserve-ak.last.fm/serve/64s/85073287.png,medium,http://userserve-ak.last.fm/serve/126/85073287.png,large,http://userserve-ak.last.fm/serve/300x300/85073287.png,extralarge,10
