name,playcount,mbid,url,artist/name,artist/mbid,artist/url,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,@attr/rank
Alien Lanes,244,cc27a5ec-a2ac-33b7-806b-95d7a3383ffb,http://www.last.fm/music/Guided+by+Voices/Alien+Lanes,Guided by Voices,6c85f4c3-026c-4c16-9a7c-f546f42ed0fb,http://www.last.fm/music/Guided+by+Voices,http://userserve-ak.last.fm/serve/34s/70402336.png,small,http://userserve-ak.last.fm/serve/64s/70402336.png,medium,http://userserve-ak.last.fm/serve/126/70402336.png,large,http://userserve-ak.last.fm/serve/300x300/70402336.png,extralarge,1
Tri Repetae,160,1fe17de3-6c8e-48b2-92a6-22d159d78acf,http://www.last.fm/music/Autechre/Tri+Repetae,Autechre,410c9baf-5469-44f6-9852-826524b80c61,http://www.last.fm/music/Autechre,http://userserve-ak.last.fm/serve/34s/44413943.png,small,http://userserve-ak.last.fm/serve/64s/44413943.png,medium,http://userserve-ak.last.fm/serve/126/44413943.png,large,http://userserve-ak.last.fm/serve/300x300/44413943.png,extralarge,2
Another Green World,138,13b4262e-1d35-4261-8c36-815019627647,http://www.last.fm/music/Brian+Eno/Another+Green+World,Brian Eno,06a93df5-7ad4-45fb-8e62-07b6a56259ce,http://www.last.fm/music/Brian+Eno,http://userserve-ak.last.fm/serve/34s/41586769.png,small,http://userserve-ak.last.fm/serve/64s/41586769.png,medium,http://userserve-ak.last.fm/serve/126/41586769.png,large,http://userserve-ak.last.fm/serve/300x300/41586769.png,extralarge,3
Under the Bushes Under the Stars,137,7eb4e32e-0dbb-39de-8f8c-62ec0040ca57,http://www.last.fm/music/Guided+by+Voices/Under+the+Bushes+Under+the+Stars,Guided by Voices,6c85f4c3-026c-4c16-9a7c-f546f42ed0fb,http://www.last.fm/music/Guided+by+Voices,http://userserve-ak.last.fm/serve/34s/70905666.png,small,http://userserve-ak.last.fm/serve/64s/70905666.png,medium,http://userserve-ak.last.fm/serve/126/70905666.png,large,http://userserve-ak.last.fm/serve/300x300/70905666.png,extralarge,4
Hospitality,134,2e57697d-a6e3-45df-ba61-9da95d51af4c,http://www.last.fm/music/Hospitality/Hospitality,Hospitality,0ef5eb85-fddb-443b-8a14-8b5da90be3e9,http://www.last.fm/music/Hospitality,http://userserve-ak.last.fm/serve/34s/71012560.jpg,small,http://userserve-ak.last.fm/serve/64s/71012560.jpg,medium,http://userserve-ak.last.fm/serve/126/71012560.jpg,large,http://userserve-ak.last.fm/serve/300x300/71012560.jpg,extralarge,5
Of Cities,122,c4bfd5a2-61a4-47f9-8777-22fdcf886b1c,http://www.last.fm/music/DJ+Signify/Of+Cities,DJ Signify,d3115e4a-ad25-42f1-a494-e11c10619cfb,http://www.last.fm/music/DJ+Signify,http://userserve-ak.last.fm/serve/34s/54592825.jpg,small,http://userserve-ak.last.fm/serve/64s/54592825.jpg,medium,http://userserve-ak.last.fm/serve/126/54592825.jpg,large,http://userserve-ak.last.fm/serve/300x300/54592825.jpg,extralarge,6
Pornography,121,665ff6fa-46d0-3ed3-9c7e-ec508e850946,http://www.last.fm/music/The+Cure/Pornography,The Cure,69ee3720-a7cb-4402-b48d-a02c366f2bcf,http://www.last.fm/music/The+Cure,http://userserve-ak.last.fm/serve/34s/40123609.png,small,http://userserve-ak.last.fm/serve/64s/40123609.png,medium,http://userserve-ak.last.fm/serve/126/40123609.png,large,http://userserve-ak.last.fm/serve/300x300/40123609.png,extralarge,7
Music Has the Right to Children,117,baae9470-932c-4043-b266-faea644483f3,http://www.last.fm/music/Boards+of+Canada/Music+Has+the+Right+to+Children,Boards of Canada,69158f97-4c07-4c4e-baf8-4e4ab1ed666e,http://www.last.fm/music/Boards+of+Canada,http://userserve-ak.last.fm/serve/34s/100496007.png,small,http://userserve-ak.last.fm/serve/64s/100496007.png,medium,http://userserve-ak.last.fm/serve/126/100496007.png,large,http://userserve-ak.last.fm/serve/300x300/100496007.png,extralarge,8
Collection,98,,http://www.last.fm/music/Misfits/Collection,Misfits,936addc3-91aa-49de-8ec0-0dc186de151f,http://www.last.fm/music/Misfits,http://userserve-ak.last.fm/serve/34s/82082677.png,small,http://userserve-ak.last.fm/serve/64s/82082677.png,medium,http://userserve-ak.last.fm/serve/126/82082677.png,large,http://userserve-ak.last.fm/serve/300x300/82082677.png,extralarge,9
Flashmob,83,02f886cc-0e8d-4d9e-8f7a-2227ed082e42,http://www.last.fm/music/Vitalic/Flashmob,Vitalic,1f064e2d-aa55-4631-8f62-e2c14bbe1f4e,http://www.last.fm/music/Vitalic,http://userserve-ak.last.fm/serve/34s/36929975.png,small,http://userserve-ak.last.fm/serve/64s/36929975.png,medium,http://userserve-ak.last.fm/serve/126/36929975.png,large,http://userserve-ak.last.fm/serve/300x300/36929975.png,extralarge,10
